,Job Title,Job Sector,Recruit Condition,Company Info,DeadLines_MonJan151332012018
0,"롯데렌탈㈜[롯데렌탈,롯데오토케어] 각 부문 모집",총무·법무·사무경리·출납·결산사무보조·문서작성 외        ,신입 · 경력_고졸↑_,정규직 · 계약직서울 강남구,~ 01/19(금)
1,㈜대명레저산업[엠블호텔여수] 2018년 상반기 공채 채용,판매·매장관리외식·식음료호텔·카지노·콘도 ,"신입 · 경력_대학(2,3년)↑_",전남 여수시,~ 01/31(수)
2,㈜LG화학2018년 상반기 산학협력 인턴사원 모집(학사),기획·전략·경영총무·법무·사무인사·교육·노무 외        ,신입 · 경력_대학교(4년)↑_,인턴직전남 나주시,내일마감
3,㈜대명레저산업[대명리조트 거제마리나] 굿앤굿스 마트 신입사원 채용,총무·법무·사무영업기획·관리·지원외식·식음료 ,신입_고졸↑_,경남 거제시,~ 01/20(토)
4,(주)티제이팜각 부문별 경력 채용,기획·전략·경영홍보·PR·사보마케팅·광고·분석 외        ,5년↑_대학교(4년)↑_,정규직서울 마포구,~ 01/21(일)
5,쿠팡 주식회사2018 쿠팡 신입사원 쿠니 채용,마케팅·광고·분석영업기획·관리·지원TM·아웃바운드 외        ,신입 · 경력_대학교(4년)↑_,정규직서울 송파구,~ 01/21(일)
6,"㈜코리아센터닷컴매출정산, 회계세무, 경리, 수불부 관련 신입/경력자 채용",경리·출납·결산회계·재무·세무·IR세무·회계·CPA ,신입 · 경력_학력무관_,정규직서울 금천구,~ 01/19(금)
7,(주)신성이엔지신성이엔지 회계팀 직원 채용,회계·재무·세무·IR전기·전자·제어 ,5년↑_대학교(4년)↑_,정규직경기 성남시 분당구,~ 01/21(일)
8,인지컨트롤스㈜자동차부품 국내영업 신입/경력 모집,기술영업 ,신입 · 경력_대학교(4년)↑_,정규직경기 시흥시,~ 01/21(일)
9,㈜이롬홈쇼핑사업부 영업 담당자 모집,일반영업판매·매장관리영업기획·관리·지원 ,신입 · 경력_대학교(4년)↑_,정규직경기 성남시 분당구,~ 01/22(월)
10,서영이앤티(주)서영이앤티 F&B; 주류팀 영업(주류) 우수인재 모집,일반영업 ,신입 · 경력_고졸↑_,정규직서울 서초구,~ 01/17(수)
11,캐논코리아비즈니..18년 1월 서비스 신입사원 채용 (정규직),총무·법무·사무생산·제조·포장·조립웹기획·PM ,"신입_대학(2,3년)↑_",정규직경기 수원시,내일마감
12,㈜대명레저산업[대명리조트/제주] 경영지원직군[인사지원/심사분석] 채용공고,기획·전략·경영경리·출납·결산인사·교육·노무 외        ,신입 · 경력_학력무관_,제주 제주시,오늘마감
13,(주)에이텍티앤(주) 에이텍티앤 WEB 개발자 경력직 채용,웹개발응용프로그램개발하드웨어·소프트웨어 ,"2 ~ 10년_대학(2,3년)↑_",정규직서울 중구,~ 01/21(일)
14,㈜에스디생명공학[SNP화장품] 17년 각 부문 신입/경력 채용,기획·전략·경영일반영업영업기획·관리·지원 외        ,신입 · 경력_고졸↑_,정규직서울 강서구,~ 01/31(수)
15,㈜코리아센터닷컴국내&해외 오픈마켓 광고기획/운영/영업 담당자 채용,기획·전략·경영경리·출납·결산홍보·PR·사보 외        ,신입 · 경력_학력무관_,정규직 · 계약직서울전체,~ 01/19(금)
16,(주)팜스웰바이오비서 정규직 채용(경력무관),비서·안내·수행원 ,경력무관_학력무관_,정규직서울 강남구,~ 02/08(목)
17,(주)에이텍구매팀 자재구매 정규직 모집 공고,구매·자재·재고 ,"신입 · 경력_대학(2,3년)↑_",정규직경기 용인시 처인구,~ 01/21(일)
18,(주)디엠씨미디어[DMC미디어] 인사기획 담당자 채용 공고,기획·전략·경영총무·법무·사무인사·교육·노무 ,8 ~ 13년_학력무관_,정규직서울 강남구,~ 01/31(수)
19,한국단자공업㈜해외납품관리(PC&L;) 경력직 모집,물류·유통·운송해외영업·무역영업무역사무·수출입 ,2 ~ 5년_대학교(4년)↑_,정규직인천 연수구,~ 01/22(월)
20,(주)디엠씨미디어[DMC미디어] 퍼포먼스마케터 채용공고,홍보·PR·사보마케팅·광고·분석광고·카피·CF ,3년↑_학력무관_,정규직서울 강남구,~ 01/31(수)
21,한국단자공업㈜자동차부품 중국영업 경력직 모집,기술영업영업기획·관리·지원해외영업·무역영업 ,5 ~ 10년_대학교(4년)↑_,정규직인천 연수구,~ 01/22(월)
22,메가스터디(주)영유아기관 프로그램 기획 및 개발 담당자 모집,교육기획·교재 ,3년↑_대학교(4년)↑_,정규직서울 마포구,~ 01/31(수)
