,Job Title,Job Sector,Recruit Condition,Company Info,DeadLines_MonJan151332042018
0,(주)루멘스원가회계 경력직 모집,회계·재무·세무·IR ,3년↑_대학교(4년)↑_,정규직경기 용인시 기흥구,~ 01/21(일)
1,주식회사 PN풍년해외사업팀 신입 채용(인턴직),일반영업 ,신입_대학교(4년)↑_,인턴직서울 강남구,~ 01/31(수)
2,(주)녹십자셀녹십자셀 재무회계 부문 채용 공고(경력),회계·재무·세무·IR ,5년↑_대학교(4년)↑_,정규직서울 금천구,~ 01/21(일)
3,진흥기업㈜주택영업 담당,부동산·개발·경매·분양 ,10년↑_대학교(4년)↑_,정규직서울 용산구,~ 01/22(월)
4,이투스교육㈜분당청솔학원 학생지도팀 신입/경력 정규직 채용,학원관리·운영·상담 ,"신입 · 경력_대학(2,3년)↑_",정규직경기 성남시 분당구,~ 01/23(화)
5,진흥기업㈜건축견적 경력사원 채용(정규직),토목·조경·도시·측량건축·인테리어·설계부동산·개발·경매·분양 ,5년↑_대학교(4년)↑_,정규직서울 용산구,~ 01/22(월)
6,동아에스텍㈜건축외장재 수주영업 경력사원 모집,일반영업기술영업영업기획·관리·지원 ,5년↑_대학교(4년)↑_,정규직서울 송파구,~ 01/19(금)
7,"㈜바오스인사·교육·노무(인사, HRD·HRM外 1개 부문) 채용",인사·교육·노무 ,3년↑_대학교(4년)↑_,정규직경기 평택시,~ 01/19(금)
8,(주)흥국F&B;(주)흥국에프엔비 온라인 영업관리 경력직 모집 - 자회사근무,영업기획·관리·지원고객센터·CS ,"2 ~ 5년_대학(2,3년)↑_",정규직서울 서초구,~ 02/07(수)
9,LG디스플레이㈜안전/보건/방재분야 경력사원 모집,전기·소방·통신·설비안전·품질·검사·관리 ,2년↑_대학교(4년)↑_,정규직경기 파주시,~ 01/17(수)
10,(주)교원교원그룹 [IT운영팀] 경력직 수시채용 (웹기획),웹기획·PM웹개발 ,5년↑_대학교(4년)↑_,계약직서울 중구,~ 01/21(일)
11,(주)한화이글스선수단 운영기획 담당 경력사원 채용,기획·전략·경영레저·스포츠 ,5년↑_대학교(4년)↑_,정규직대전 중구,~ 01/24(수)
