,Job Title,Job Sector,Recruit Condition,Company Info,DeadLines_MonJan151332062018
0,LG히타치워터솔루션[하이엔텍] 본사 민간영업팀 영업담당자 채용 (정규직),마케팅·광고·분석IT·솔루션영업기술영업 외        ,10년↑_학력무관_,정규직서울 금천구,~ 01/28(일)
1,(주)광림원가관리 정규직 채용(경력),회계·재무·세무·IR ,3 ~ 8년_학력무관_,정규직충북 청주시 서원구,~ 02/04(일)
2,코리아나 화장품오연서와 함께하는 뷰티매니저 정규직 채용공고,일반영업판매·매장관리미용·피부관리·애견 ,경력무관_고졸↑_,"정규직 · 위촉직서울 강남구3,600~3,800만원",내일마감
3,(주)이상네트웍스기획 및 서비스 운영 모집,기획·전략·경영마케팅·광고·분석고객센터·CS ,신입 · 경력_대학교(4년)↑_,정규직서울 금천구,~ 01/21(일)
4,(주)세움생산기술 관리업무,기계·기계설비 ,"경력무관_대학(2,3년)↑_",정규직전북 정읍시,내일마감
5,한국화장품(주)한국화장품(주) 방판사업부(충청권) 영업담당모집,일반영업영업기획·관리·지원 ,신입 · 경력_대학교(4년)↑_,정규직대전 동구,~ 01/18(목)
6,팅크웨어㈜아이나비 틴팅 CRM 담당 경력 모집,마케팅·광고·분석판매·매장관리영업기획·관리·지원 ,3년↑_대학교(4년)↑_,정규직경기 성남시 분당구,~ 01/22(월)
7,에어리퀴드Hydrogen Energy(H2E) Business Analyst,기획·전략·경영증권·투자·펀드·외환 ,신입 · 경력_대학교(4년)↑_,정규직서울 강남구,~ 01/19(금)
8,삼지전자연구소 하드웨어·소프트웨어 모집 공고 - 경력사원,응용프로그램개발시스템개발하드웨어·소프트웨어 ,3년↑_대학교(4년)↑_,정규직서울 금천구,~ 01/31(수)
9,"(주)에스엠 컬처..[SM C&C;] 신입/경력 연기자 매니저(아티스트 장동건, 문가영 등)",연예·엔터테인먼트 ,"신입 · 경력_대학(2,3년)↑_",정규직 · 계약직서울 강남구,~ 01/19(금)
10,삼지전자하드웨어 연구개발직 경력 채용 공고,연구소·R&D; ,5년↑_대학교(4년)↑_,정규직서울 금천구,~ 01/31(수)
11,"(주)비.엠.씨무역사무/일반영업/해외영업 외 경력, 신입 채용",일반영업해외영업·무역영업무역사무·수출입 ,신입 · 경력_대학교(4년)↑_,정규직경기 안성시,~ 02/04(일)
12,네오팜화장품 처방개발 (신입 또는 경력 3년 이하) 모집,연구소·R&D; ,신입 · 경력_대학교(4년)↑_,정규직 · 계약직대전 유성구,~ 01/28(일)
13,로체시스템즈㈜2018 로체시스템즈㈜ 영업그룹 경력사원 채용,일반영업영업기획·관리·지원해외영업·무역영업 외        ,2 ~ 4년_대학교(4년)↑_,정규직경기 용인시,~ 01/21(일)
14,"CJ 4DPLEX[CJ 4Dplex] 자재관리 신입, 경력 채용 - 정규직",기계·기계설비전기·전자·제어 ,신입 · 경력_학력무관_,정규직충북 청원군,오늘마감
15,제이준코스메틱(주)제이준코스메틱 연구소 연구원 채용,연구소·R&D; ,경력무관_대학교(4년)↑_,정규직인천 남동구,~ 01/31(수)
16,㈜사람인HR채용광고영업 정규직 채용,일반영업 ,신입 · 경력_학력무관_,정규직서울 구로구,~ 01/31(수)
17,(주)강스템바이오텍강스템바이오텍 IR홍보 경력직 채용,홍보·PR·사보 ,3년↑_대학교(4년)↑_,정규직서울 강남구,~ 01/20(토)
18,(주)체리부로회계(경력),회계·재무·세무·IR ,3년↑_대학교(4년)↑_,정규직충북 진천군,~ 01/31(수)
19,SK하이닉스[경력] 소재품질관리 전문가 모집,생산관리·품질관리 ,4년↑_석사↑_,경기 이천시,~ 01/17(수)
20,㈜LG화학QMS(Quality Management System) 분야 경력사원 모집(오창),회계·재무·세무·IR생산관리·품질관리반도체·디스플레이·LCD ,3년↑_대학교(4년)↑_,충북 청주시 흥덕구,~ 01/28(일)
21,㈜클리오(주)클리오 재무회계 경력자 모집,회계·재무·세무·IR ,8 ~ 14년_대학교(4년)↑_,정규직서울 강남구,~ 01/18(목)
22,비디아이(주)상장사 회계업무 경력자 모집,회계·재무·세무·IR ,"5년↑_대학(2,3년)↑_",정규직서울 금천구,~ 01/19(금)
23,천재교육천재교육 웹 퍼블리셔 담당자 모집,웹개발퍼블리싱·UI개발 ,"신입 · 경력_대학(2,3년)↑_",정규직 · 계약직서울 금천구,~ 01/19(금)
24,(주) 파워로직스각 부문별 신입/ 경력사원 모집,회계·재무·세무·IR전기·전자·제어설계·CAD·CAM ,"신입 · 경력_대학(2,3년)↑_",정규직충북 청원군,~ 01/21(일)
25,동성제약㈜개발부 업무담당자 모집,연구소·R&D; ,경력무관_대학교(4년)↑_,정규직서울 도봉구,~ 01/19(금)
26,"㈜풍인무역(주)풍인무역 니트,우븐 해외영업관리 (경력)",일반영업섬유·의류·패션해외영업·무역영업 ,"3 ~ 10년_대학(2,3년)↑_",정규직서울 영등포구,~ 02/04(일)
27,㈜신세계푸드베이커리/영양사/조리사 신입(인턴) 모집,외식·식음료요리·제빵사·영양사의료기타직 ,"신입_대학(2,3년)↑_",정규직 · 인턴직서울전체,~ 01/21(일)
28,㈜인동에프엔쉬즈미스/리스트 전산팀 경력 채용 공고,웹개발응용프로그램개발데이터베이스·DBA ,5 ~ 12년_대학교(4년)↑_,정규직서울 서초구,~ 01/31(수)
29,㈜CBSiCBSi 웹개발자 모집,웹개발 ,3 ~ 10년_학력무관_,정규직서울 양천구,~ 01/21(일)
30,"주식회사 넥스지데이터마이닝,머신러닝플랫폼 개발 국가R&D;과제 수행연구원 모집",통신·모바일인공지능(AI)·빅데이터 ,3 ~ 10년_학력무관_,정규직서울 마포구,내일마감
31,티제이미디어(주)하드웨어 개발 직원 모집,전기·전자·제어 ,10년↑_대학교(4년)↑_,정규직서울 강서구,~ 01/21(일)
32,㈜바이오톡스텍(주)바이오톡스텍 화학물질 영업관리 담당자 모집,기술영업영업기획·관리·지원 ,2년↑_대학교(4년)↑_,정규직충북 청주시 청원구,~ 01/21(일)
33,(주)스타럭스[수입유통 대기업 /스타럭스 /코스메틱 브랜드] 마케팅 (사원급),홍보·PR·사보마케팅·광고·분석상품기획·MD ,1년↑_대학교(4년)↑_,정규직서울 강남구,~ 01/21(일)
34,(주)아우딘퓨쳐스화장품 패키지 디자이너 경력직 모집,그래픽디자인·CG제품·산업디자인 ,"2년↑_대학(2,3년)↑_",정규직서울 강남구,~ 02/03(토)
35,"알에스오토메이션..자동화장비(드라이브) 안정성 인증 및 SW 개발, 검증",연구소·R&D; ,2 ~ 20년_대학교(4년)↑_,정규직경기 평택시,~ 01/19(금)
36,유비벨록스(주)유비벨록스 재무회계팀 신입사원 채용,회계·재무·세무·IR ,신입_대학교(4년)↑_,정규직서울 구로구,~ 01/31(수)
37,㈜코리아센터닷컴쇼핑몰 기획/운영자 및 SNS 채널운영 경력자 채용,기획·전략·경영홍보·PR·사보사무보조·문서작성 외        ,신입 · 경력_학력무관_,정규직 · 계약직서울전체,~ 01/19(금)
38,"㈜펩트론회계, 생산 담당자",회계·재무·세무·IR생산관리·품질관리바이오·제약·식품 외        ,"신입 · 경력_대학(2,3년)↑_",정규직대전 유성구,~ 01/17(수)
39,(주)지란지교시큐..PHP 개발 경력 채용,웹개발응용프로그램개발 ,5 ~ 10년_학력무관_,정규직서울 강남구,~ 01/28(일)
40,자이글(주)웹디자인(포토샵&일러스트레이터&CSS;外 2개 부문) 경력직 채용,웹디자인 ,"2년↑_대학(2,3년)↑_",정규직서울 강서구,~ 02/03(토)
