,Job Title,Job Sector,Recruit Condition,Company Info,DeadLines_MonJan151331572018
0,㈜에프티이앤이(정규직) 2018 상반기 각 부문 신입/경력 채용,사무보조·문서작성회계·재무·세무·IR일반영업 외        ,신입 · 경력_고졸↑_,정규직서울전체,~ 01/20(토)
1,(주)제로투세븐궁중비책팀 경력사원 모집 (마케팅 커뮤니케이션),홍보·PR·사보마케팅·광고·분석 ,8년↑_대학교(4년)↑_,정규직서울 마포구,~ 01/26(금)
2,조아제약㈜조아제약㈜ 2018년 공개채용,총무·법무·사무인사·교육·노무일반영업 외        ,"신입 · 경력_대학(2,3년)↑_",정규직 · 인턴직서울 강남구,~ 01/17(수)
3,"주식회사 뉴메드온라인 & 모바일 마케팅전략·기획, 운영관리 외 경력직 채용",마케팅·광고·분석 ,5 ~ 10년_대학교(4년)↑_,정규직서울 동대문구,~ 02/11(일)
4,신화인터텍(주)[효성계열사] 신화인터텍(주) 중화권 기술영업 경력 모집,일반영업기술영업 ,4년↑_대학교(4년)↑_,정규직충남 천안시 동남구,~ 01/31(수)
5,신화인터텍(주)[효성계열] 신화인터텍(주) R&D;센터 신입 연구원 모집,연구소·R&D; ,신입_석사↑_,정규직충남 천안시 동남구,~ 01/31(수)
6,신화인터텍(주)[효성계열] 신화인터텍(주) R&D;센터 선행공정 경력 모집,연구소·R&D; ,4년↑_대학교(4년)↑_,정규직충남 천안시 동남구,~ 01/31(수)
7,신화인터텍(주)[효성계열사] 신화인터텍(주) 인사총무팀 사원 모집,총무·법무·사무 ,신입 · 경력_고졸↑_,정규직충남 천안시 동남구,~ 01/31(수)
8,에이제이파크(주)부동산 개발 영업 경력자 모집,일반영업 ,경력무관_대학교(4년)↑_,정규직서울 송파구,~ 01/22(월)
9,㈜제노코기술연구소 및 품질보증팀 경력 사원 채용,기획·전략·경영마케팅·광고·분석전기·전자·제어 외        ,"신입 · 경력_대학(2,3년)↑_",정규직경기 안양시,내일마감
10,삼일제약㈜삼일제약㈜ 품질관리부(분석팀) 신입 및 경력 채용,생산관리·품질관리바이오·제약·식품연구소·R&D; ,신입 · 경력_대학교(4년)↑_,정규직경기 안산시,~ 01/20(토)
11,굿어스㈜Oracle 유지보수 영업 및 고객사 관리 경력직 모집,일반영업영업기획·관리·지원데이터베이스·DBA ,3년↑_대학교(4년)↑_,정규직서울 강남구,~ 02/04(일)
12,나래에너지서비스..나래에너지서비스 O&M; 신입 및 경력사원 채용공고,기획·전략·경영회계·재무·세무·IR기계·기계설비 외        ,신입 · 경력_학력무관_,정규직경기 파주시,~ 01/21(일)
13,(주)바디프랜드(주)바디프랜드 디자인연구소 경력 채용,설계·CAD·CAM제품·산업디자인 ,5년↑_대학교(4년)↑_,정규직서울 강남구,~ 02/10(토)
14,㈜에프에스티각 부문 신입/경력 직원 채용,기획·전략·경영인사·교육·노무마케팅·광고·분석 외        ,신입 · 경력_고졸↑_,정규직경기 화성시,~ 01/18(목)
