,Job Title,Job Sector,Recruit Condition,Company Info,DeadLines_MonJan151332082018
0,KTH㈜[1월 경력공채] K쇼핑 온라인MD(가공 및 건강 식품) 담당 경력,상품기획·MD ,3년↑_학력무관_,정규직서울 동작구,내일마감
1,클라리언트코리아㈜(외국계기업) 벤토나이트 사업부 환경안전보건 담당자 (ESHA m..,기술영업생산관리·품질관리연구소·R&D; 외        ,3년↑_대학교(4년)↑_,정규직경북 포항시,오늘마감
2,"(주)종합건축사사..건원건축 전략기획, 홍보기획, 연구개발 분야 인재 모집",기획·전략·경영홍보·PR·사보건축·인테리어·설계 ,경력무관_대학교(4년)↑_,정규직서울 강남구,~ 01/22(월)
3,주식회사 엔엑스씨넥슨컴퓨터박물관 채용형 인턴 채용공고,전시·컨벤션·세미나문화·예술·종교 ,"경력무관_대학(2,3년)↑_",인턴직제주 제주시160만원,오늘마감
4,KTH㈜[1월 경력공채]K쇼핑 온라인MD(생활 및 주방가전) 담당 경력사원,영업기획·관리·지원상품기획·MD ,3년↑_학력무관_,정규직서울 동작구,내일마감
5,"㈜진주햄진주햄 해외영업 (중화권)영업 경력,신입 채용",해외영업·무역영업 ,신입 · 경력_대학교(4년)↑_,정규직서울 강남구,~ 01/21(일)
6,"㈜아이비김영동영상 제작 및 편집, CG 작업자 모집",카메라·조명·미술 ,"신입 · 경력_대학(2,3년)↑_",정규직서울 서초구,~ 01/19(금)
7,(주)웅진투투럽영업관리&일반관리-마케팅 담당자 채용합니다,마케팅·광고·분석일반영업판매·매장관리 ,경력무관_학력무관_,정규직서울 종로구,~ 01/19(금)
8,(주)엠지메드진단개발팀 NGS/생물정보학 연구원 채용,연구소·R&D; ,신입 · 경력_대학교(4년)↑_,정규직서울 금천구,~ 01/22(월)
9,㈜코리아나화장품2018년 상반기 뷰티매니저 특채모집,일반영업판매·매장관리영업기획·관리·지원 외        ,"신입 · 경력_대학(2,3년)↑_",정규직 · 위촉직서울 마포구,~ 01/19(금)
10,"(주)바디프랜드바디프랜드 관리팀 인사,총무 경력/신입 채용",총무·법무·사무인사·교육·노무 ,신입 · 경력_대학교(4년)↑_,정규직서울 강남구,~ 02/02(금)
11,(주)아이에이(경력무관) 총무/비품관리/복리후생/사무外 계약직 채용 공고,총무·법무·사무인사·교육·노무 ,경력무관_학력무관_,"계약직서울 송파구2,000~2,200만원",~ 02/02(금)
12,티캐스트[티캐스트] 콘텐츠 사업팀 국내 구매 담당자 경력 채용,사무보조·문서작성외국어·번역·통역영화제작·배급 ,4년↑_대학교(4년)↑_,정규직서울 종로구,~ 01/21(일)
13,(주)이아이디화장품 홈쇼핑 영업 외 경력 채용 공고 - 정규직,일반영업영업기획·관리·지원해외영업·무역영업 ,5 ~ 15년_대학교(4년)↑_,정규직서울 강남구,~ 01/28(일)
14,"㈜클리오(주)클리오 글로벌MC(마케팅, 홍보) 경력직 채용",마케팅·광고·분석광고·카피·CF ,4 ~ 9년_대학교(4년)↑_,정규직서울 강남구,~ 01/18(목)
15,㈜에이치알에스각부문 신입 및 경력 사원모집,비서·안내·수행원일반영업기술영업 외        ,신입 · 경력_고졸↑_,정규직 · 계약직경기 평택시,오늘마감
16,퀴아젠코리아(유)필드 서비스 엔지니어 경력사원 모집,기술영업기계·기계설비AS·서비스·수리 ,2년↑_대학교(4년)↑_,정규직서울 중구,~ 01/31(수)
17,㈜인터엠인터엠 기획팀 사원모집,기획·전략·경영 ,신입 · 경력_대학교(4년)↑_,정규직서울 도봉구,~ 01/19(금)
18,"한양디지텍㈜모바일 앱 개발자 및 회로, 신호처리 개발자 모집(병특가능)",응용프로그램개발하드웨어·소프트웨어연구소·R&D; ,신입 · 경력_대학교(4년)↑_,정규직서울 종로구,~ 01/31(수)
19,(주)셀루메드[셀루메드] 화장품 마케팅 담당자 채용 (경력/정규직),마케팅·광고·분석 ,3년↑_대학교(4년)↑_,정규직서울 금천구,~ 02/02(금)
20,(주)케이지모빌리..[KG모빌리언스] - 정보보안 및 감사 담당자 채용,서버·네트워크·보안 ,"3 ~ 5년_대학(2,3년)↑_",정규직경기 성남시 분당구,~ 01/21(일)
21,(주)아미노로직스일반영업 정규직 모집 공고 - 경력,일반영업 ,3 ~ 10년_대학교(4년)↑_,정규직서울 강남구,~ 01/19(금)
22,메가스터디(주)출판사업부문 유아동마케팅담당자 모집,판매·매장관리 ,"경력무관_대학(2,3년)↑_",정규직서울 마포구,~ 01/31(수)
23,(주)케이엠에이치컨텐츠마스터링&OAP; 外 3년 이상 정규직 채용,동영상·편집·코덱카메라·조명·미술 ,"3년↑_대학(2,3년)↑_",정규직서울 양천구,~ 01/31(수)
24,㈜인터컴2018년 정기채용 안내,총무·법무·사무 ,신입 · 경력_학력무관_,정규직 · 인턴직서울 강남구,~ 01/18(목)
25,"㈜케이지이니시스[신입] 해외제휴, 해외영업관리, 해외서비스 지원 담당자 채용",IT·솔루션영업외국어·번역·통역해외영업·무역영업 ,신입_대학교(4년)↑_,정규직경기 성남시 분당구,~ 01/23(화)
26,"㈜케이지이니시스[경력] 해외제휴, 해외영업관리, 해외서비스 지원 담당자 채용",IT·솔루션영업외국어·번역·통역해외영업·무역영업 ,4 ~ 7년_대학교(4년)↑_,정규직경기 성남시 분당구,~ 01/23(화)
27,휴젤(주)[휴젤㈜] 2018년 상반기 신입/경력 공개채용,기획·전략·경영홍보·PR·사보사무보조·문서작성 외        ,신입 · 경력_학력무관_,정규직서울 강남구,~ 01/22(월)
