,Job Title,Job Sector,Recruit Condition,Company Info,DeadLines_MonJan151331552018
0,마성산업(주)2018 상반기 회계·재무·세무 담당 신입사원 채용,경리·출납·결산회계·재무·세무·IR ,"신입_대학(2,3년)↑_","정규직서울 서초구2,800~3,000만원",~ 01/19(금)
1,대성산업가스㈜생산관리 신입사원 채용,화학·에너지전기·전자·제어생산관리·품질관리 외        ,신입_대학교(4년)↑_,정규직전국,~ 01/18(목)
2,㈜이건창호2018년 이건 신입 및 경력 수시채용,기획·전략·경영인사·교육·노무마케팅·광고·분석 외        ,신입 · 경력_대학교(4년)↑_,정규직인천 남구,~ 01/20(토)
3,현대첨단소재주식..구매 경력사원 모집합니다(정규직),구매·자재·재고 ,7 ~ 10년_대학교(4년)↑_,정규직경기 화성시,~ 02/10(토)
4,(주)대교[(주)대교] 디지털 IMC담당 경력사원 모집합니다,광고·카피·CF광고·시각디자인 ,2년↑_대학교(4년)↑_,정규직경기 파주시,~ 01/26(금)
5,(주)대교[(주)대교] IT 기획 운영인력 경력사원 모집,서버·네트워크·보안웹기획·PMERP·시스템분석·설계 ,1년↑_대학교(4년)↑_,정규직서울 관악구,~ 01/21(일)
6,(주)케이티스포츠kt sports 재무회계 담당자 채용,회계·재무·세무·IR ,신입 · 경력_대학교(4년)↑_,정규직경기 수원시 장안구,~ 01/24(수)
7,하이엠솔루텍주식..LG전자 하이엠솔루텍 영업관리(기획) 담당자 모집 공고,영업기획·관리·지원 ,신입 · 경력_학력무관_,정규직서울 금천구,~ 01/21(일)
8,㈜우정비에스씨신입/경력사원 정규직 채용공고,사무보조·문서작성기술영업AS·서비스·수리 ,신입 · 경력_학력무관_,정규직경기 수원시,~ 01/31(수)
9,삼성전자㈜멕시코생산법인(SAMEX) 환경안전/인프라 분야 경력사원 채용,생산관리·품질관리전기·소방·통신·설비환경·플랜트 외        ,5년↑_학력무관_,북·중미 멕시코,~ 01/19(금)
10,(주)에이스테크놀..재무회계담당(신입/경력) 모집,회계·재무·세무·IR ,신입 · 경력_대학교(4년)↑_,정규직인천 남동구,~ 01/21(일)
11,㈜한국미스미2018년 ㈜한국미스미 각 부문 공개채용(신입/경력),기획·전략·경영사무보조·문서작성마케팅·광고·분석 외        ,신입 · 경력_대학교(4년)↑_,정규직서울 강남구,~ 01/31(수)
12,한국노동연구원행정직 채용 공고,총무·법무·사무인사·교육·노무회계·재무·세무·IR ,신입 · 경력_학력무관_,정규직세종 세종특별자치시,내일마감
13,㈜유익(정규직) 2018 상반기 영업/품질/생산 채용,일반영업기술영업영업기획·관리·지원 외        ,경력무관_학력무관_,정규직경기전체,~ 01/17(수)
14,(주)바바패션(주)바바패션 JJ 지고트 영업MD 경력 채용 공고,섬유·의류·패션상품기획·MD ,"1 ~ 5년_대학(2,3년)↑_",정규직서울 서초구,~ 02/10(토)
15,㈜포스코대우2018년 경력사원 모집,세무·회계·CPA무역사무·수출입 ,3년↑_학력무관_,인천 연수구,~ 01/21(일)
16,"만도브로제 주식..R&D;대졸 신입 및 경영지원,생산 경력사원 모집",총무·법무·사무인사·교육·노무회계·재무·세무·IR 외        ,신입 · 경력_대학교(4년)↑_,정규직인천 연수구,~ 01/24(수)
17,(주)에이스테크놀..베트남법인 전산담당자(경력) 모집,응용프로그램개발 ,"3년↑_대학(2,3년)↑_",정규직아시아·중동 베트남,~ 01/21(일)
18,㈜두산(모트롤BG ..전략기획 및 운영 경력사원 채용,기획·전략·경영인사·교육·노무기계·기계설비 ,8년↑_대학교(4년)↑_,정규직경남 창원시,~ 01/23(화)
19,한서실업㈜한서실업㈜ 신입사원 모집,웹디자인그래픽디자인·CG제품·산업디자인 외        ,신입_대학교(4년)↑_,정규직서울 성동구,~ 01/25(목)
20,CJ대한통운㈜2018 경력사원 공개 채용,기획·전략·경영일반영업기술영업 외        ,경력_고졸↑_,정규직서울전체,~ 02/10(토)
21,CJ대한통운㈜2018년 미래기술 전문가 채용,기계·기계설비전기·전자·제어설계·CAD·CAM 외        ,경력_대학교(4년)↑_,서울전체,~ 02/10(토)
22,㈜하이프라자노무담당자 경력사원 채용(5년 이상),마케팅·광고·분석일반영업판매·매장관리 외        ,경력_학력무관_,정규직 · 계약직전국,~ 01/21(일)
23,한국기가포톤㈜한국기가포톤㈜ 급여 및 인사총무업무 전반의 관리 담당자 채용,총무·법무·사무경리·출납·결산인사·교육·노무 ,3 ~ 5년_대학교(4년)↑_,정규직경기 용인시,~ 01/17(수)
24,(주)포비스티앤씨[신입 및 경력] Adobe 제품담당자 채용,IT·솔루션영업하드웨어·소프트웨어 ,"경력무관_대학(2,3년)↑_",정규직서울 강남구,~ 01/21(일)
25,(주)대명코퍼레이션[비발디파크] 굿앤굿스 마트영업사원/케샤담당 모집,경리·출납·결산판매·매장관리 ,신입 · 경력_고졸↑_,정규직강원 홍천군,~ 01/31(수)
26,㈜제이에스티나제이에스티나 주얼리디자인 경력직 모집,마케팅·광고·분석상품기획·MD그래픽디자인·CG 외        ,3년↑_대학교(4년)↑_,정규직서울 송파구,~ 01/31(수)
27,아이진(주)웹 기획/운영 담당자 채용,마케팅·광고·분석웹기획·PM웹디자인 ,3년↑_대학교(4년)↑_,정규직경기 고양시 덕양구,~ 02/10(토)
28,한국단자공업㈜전산시스템 개발 경력직 모집,웹개발응용프로그램개발ERP·시스템분석·설계 ,2 ~ 5년_대학교(4년)↑_,정규직인천 연수구,~ 01/22(월)
29,(주)형지엘리트영업관리 경력 및 신입사원 채용,영업기획·관리·지원 ,신입 · 경력_학력무관_,정규직 · 계약직서울 강남구,~ 01/21(일)
30,(주)대양금속영업사무/영업관리 계약직&기간제 채용,일반영업영업기획·관리·지원 ,"경력무관_대학(2,3년)↑_","계약직경기 광명시2,400~2,600만원",~ 01/24(수)
31,SGS Korea소비자물품사업부 부문별 사원 모집,기술영업영업기획·관리·지원화학·에너지 ,신입 · 경력_대학교(4년)↑_,정규직경기 안양시 동안구,~ 01/24(수)
32,㈜화진㈜화진 재무회계 경력직 수시 모집,경리·출납·결산회계·재무·세무·IR세무·회계·CPA ,5년↑_대학교(4년)↑_,정규직경북 영천시,~ 01/24(수)
33,(주)나일소프트보안제품 해외마케팅 신입/경력 인재를 찾습니다.,외국어·번역·통역해외영업·무역영업 ,신입 · 경력_학력무관_,정규직서울 구로구,~ 01/25(목)
34,(주)녹십자셀IT/전산 신입직원 채용,서버·네트워크·보안웹개발 ,신입_대학교(4년)↑_,정규직서울 금천구,~ 01/21(일)
35,㈜휴스틸2018년 (주)휴스틸 신입사원 채용공고,기획·전략·경영총무·법무·사무사무보조·문서작성 외        ,경력무관_고졸↑_,정규직 · 계약직서울 강남구,~ 01/21(일)
36,(주)대원지주회사기획팀 (IT담당) 서버·네트워크·보안 경력 채용합니다,서버·네트워크·보안 ,"2년↑_대학(2,3년)↑_",정규직서울 서초구,~ 01/17(수)
37,티센크루프엘리베..[본사] 재무회계팀 인재 모집,회계·재무·세무·IR ,4 ~ 7년_대학교(4년)↑_,정규직서울 양천구,~ 01/25(목)
38,(주)나일소프트보안제품 신입/경력 개발자를 찾습니다.,웹개발응용프로그램개발퍼블리싱·UI개발 ,3년↑_학력무관_,정규직서울 구로구,~ 01/25(목)
39,노아에이티에스㈜노아에이티에스㈜ 개발자 채용 공고,응용프로그램개발ERP·시스템분석·설계하드웨어·소프트웨어 외        ,3 ~ 5년_대학교(4년)↑_,정규직부산 남구,~ 01/25(목)
40,한화종합화학(주)[한화종합화학(주)] 태양광 IPP 기술지원 경력채용,기술영업전기·전자·제어 ,"경력무관_대학(2,3년)↑_",정규직서울 중구,~ 01/18(목)
41,㈜월덱스기술영업 정규직 채용(신입),기술영업 ,"신입_대학(2,3년)↑_","정규직충북 청주시 흥덕구2,400~2,600만원",~ 01/26(금)
42,(주)시티건설2018년 시티건설 신입 및 경력직원 모집,현장·시공·감리·공무 ,신입 · 경력_학력무관_,정규직서울 강남구,~ 01/21(일)
43,한화종합화학(주)[한화종합화학(주)] 태양광 IPP사업 개발 경력직 채용,기획·전략·경영전기·전자·제어 ,경력무관_대학교(4년)↑_,정규직서울 중구,~ 01/18(목)
44,㈜서해종합건설[서해그랑블] 2018년 각 부문 경력직 채용,기획·전략·경영회계·재무·세무·IR건축·인테리어·설계 외        ,경력_학력무관_,정규직경기 의왕시,~ 01/26(금)
45,㈜대농각 부문 신입/경력 사원 채용,마케팅·광고·분석일반영업섬유·의류·패션 외        ,신입 · 경력_대학교(4년)↑_,정규직서울 강남구,오늘마감
46,삼아제약㈜삼아제약(주) 부문별 신입/경력 채용,총무·법무·사무마케팅·광고·분석일반영업 외        ,"신입 · 경력_대학(2,3년)↑_",정규직서울 강남구,~ 01/18(목)
47,(주)인프라웨어(주)인프라웨어테크놀러지 Web Programmer 신입사원 모집,웹개발하드웨어·소프트웨어웹디자인 ,신입_대학교(4년)↑_,정규직서울 금천구,~ 01/21(일)
48,(주)인프라웨어(주)인프라웨어 DBA 경력직 모집,웹개발하드웨어·소프트웨어데이터베이스·DBA ,2년↑_대학교(4년)↑_,정규직서울 금천구,~ 01/21(일)
49,국제약품㈜영업(MR) 신입 및 경력사원 모집,일반영업기술영업 ,신입 · 경력_대학교(4년)↑_,정규직 · 계약직광주전체,~ 01/17(수)
50,㈜모아텍회계/주식IR 공시담당 경력사원 모집,회계·재무·세무·IR ,"7년↑_대학(2,3년)↑_",정규직인천 남동구,~ 01/21(일)
51,삼성전자㈜종합기술원 경력사원 채용공고,기획·전략·경영연구소·R&D; ,3년↑_대학교(4년)↑_,경기 수원시 영통구,~ 01/17(수)
52,㈜바이오톡스텍바이오톡스텍 채용/교육 담당자 모집(신입),인사·교육·노무 ,신입_대학교(4년)↑_,정규직충북 청주시 청원구,~ 01/28(일)
53,㈜GS SHOP[경력]해외 JV 사업계획 및 투자 Risk 관리 담당 경력사원 채용,기획·전략·경영 ,5년↑_학력무관_,서울 영등포구,~ 01/21(일)
54,농업회사법인 조..경영지원부문 과장급 모집,회계·재무·세무·IR ,7년↑_학력무관_,정규직경기 용인시 기흥구,~ 01/21(일)
55,(재)대구경북첨단..2017년 제 4차 직원(일반직) 채용 공고,회계·재무·세무·IR연구소·R&D; ,신입 · 경력_고졸↑_,대구 동구,~ 01/23(화)
56,㈜LG화학법무/사업기획/경영관리/R&D;기획 분야 경력사원 모집,기획·전략·경영총무·법무·사무회계·재무·세무·IR 외        ,3년↑_대학교(4년)↑_,서울 강서구,~ 01/24(수)
57,SG신성건설㈜건축 현장 기술직 (건축시공.공무/전기.설비) 채용,설계·CAD·CAM건축·인테리어·설계전기·소방·통신·설비 외        ,"경력_대학(2,3년)↑_",정규직 · 계약직서울전체,~ 01/20(토)
58,교촌에프앤비㈜각 부문 신입 및 경력 모집,홍보·PR·사보회계·재무·세무·IR마케팅·광고·분석 외        ,"신입 · 경력_대학(2,3년)↑_",정규직경기 오산시,내일마감
59,㈜아발론교육총무팀 경력직(주임급 이상) 채용,총무·법무·사무건축·인테리어·설계전시·공간디자인 ,2년↑_대학교(4년)↑_,정규직경기 성남시 분당구,~ 01/17(수)
60,동양이엔피동양이엔피(주) 인버터부문 연구개발(R&D;) 경력 채용,전기·전자·제어하드웨어·소프트웨어연구소·R&D; ,"4년↑_대학(2,3년)↑_",정규직경기 수원시 영통구,~ 01/31(수)
61,㈜데코앤이(주)데코앤이 IR 담당자 모집,회계·재무·세무·IR ,5년↑_대학교(4년)↑_,정규직서울 송파구,~ 01/31(수)
62,TCC동양㈜TCC동양 국내영업팀원(관리직) 모집,일반영업기술영업영업기획·관리·지원 ,"신입 · 경력_대학(2,3년)↑_",정규직서울 영등포구,오늘마감
63,(주)커피빈코리아(주)커피빈코리아 기획/운영팀 온라인관리자 경력직 채용,컨텐츠·사이트운영상품기획·MD그래픽디자인·CG ,1년↑_대학교(4년)↑_,정규직 · 계약직서울 강남구,~ 02/10(토)
64,현대커머셜[현대커머셜] 심사지원 계약직 인재모집,총무·법무·사무금융·보험영업 ,경력무관_고졸↑_,계약직서울 동작구,~ 01/17(수)
65,㈜쎌바이오텍화장품 제조개발 경력직 채용,화학·에너지연구소·R&D; ,5 ~ 15년_대학교(4년)↑_,정규직경기 김포시,~ 02/10(토)
66,동양이엔피동양이엔피(주) 연구개발(R&D;) S/W 경력 채용,전기·전자·제어하드웨어·소프트웨어연구소·R&D; ,"3년↑_대학(2,3년)↑_",정규직경기 평택시,오늘마감
67,동광제약주식회사동광제약 구매팀 채용공고,바이오·제약·식품구매·자재·재고약사 ,신입 · 경력_대학교(4년)↑_,정규직서울 중구,~ 01/19(금)
68,(주)우진중국어 통번역 담당직원 모집,외국어·번역·통역 ,신입 · 경력_학력무관_,정규직 · 계약직경기 화성시,~ 01/26(금)
69,㈜다우데이타2018 기획/경영지원/영업/기술,기획·전략·경영총무·법무·사무일반영업 외        ,신입 · 경력_대학교(4년)↑_,정규직 · 인턴직서울 마포구,~ 01/17(수)
70,㈜휴온스글로벌휴온스 그룹 수시채용,총무·법무·사무회계·재무·세무·IR마케팅·광고·분석 외        ,신입 · 경력_학력무관_,정규직경기 성남시 분당구,~ 01/26(금)
71,현대E&T;(주)경영지원 경력사원 모집,기획·전략·경영 ,10년↑_대학교(4년)↑_,정규직 · 계약직울산 동구,~ 01/21(일)
72,"(주)메디톡스해외영업(러시아,CIS지역) 경력사원 모집",일반영업바이오·제약·식품 ,5 ~ 10년_대학교(4년)↑_,정규직서울 강남구,~ 01/21(일)
73,㈜데코앤이(주)데코앤이 재경팀 직원 모집,경리·출납·결산 ,"신입 · 경력_대학(2,3년)↑_",정규직서울 송파구,~ 01/31(수)
74,㈜탑엔지니어링자금&회계결산 신입 채용(정규직),회계·재무·세무·IR ,신입_대학교(4년)↑_,정규직경북 구미시,~ 01/22(월)
75,㈜하이트론씨스템즈[ 신입/경력 ] ICT SI영업 및 영업관리 등,IT·솔루션영업영업기획·관리·지원 ,신입 · 경력_대학교(4년)↑_,정규직경기 안성시,~ 01/31(수)
76,비디아이(주)신재생 에너지 사업 개발 경력자 채용,토목·조경·도시·측량환경·플랜트부동산·개발·경매·분양 ,5년↑_대학교(4년)↑_,정규직서울 금천구,~ 01/18(목)
77,㈜케이아이엔엑스[코스닥상장사]인프라운영관리 부문 신입사원 모집,기계·기계설비전기·전자·제어통신·모바일 외        ,"신입_대학(2,3년)↑_",정규직서울 강남구,~ 01/22(월)
