,Job Title,Job Sector,Recruit Condition,Company Info,DeadLines_MonJan151416422018
0,DBCSI손해사정2018년 상반기 신입/경력 공개채용,사무보조·문서작성채권·보험·보상·심사보험심사과 ,신입 · 경력_대학교(4년)↑_,정규직전국,~ 01/23(화)
1,㈜신세계푸드(주)신세계푸드 경력사원 모집,생산관리·품질관리생산·제조·포장·조립바이오·제약·식품 외        ,경력_학력무관_,정규직서울 성동구,~ 01/21(일)
2,일동제약㈜일동그룹 2018년 상반기 수시채용 모집요강,기획·전략·경영회계·재무·세무·IR마케팅·광고·분석 외        ,신입 · 경력_대학교(4년)↑_,정규직 · 계약직서울 서초구,~ 01/17(수)
3,한화자산운용㈜2018년 상반기 채용연계형 인턴 채용,회계·재무·세무·IR증권·투자·펀드·외환부동산·개발·경매·분양 ,신입_대학교(4년)↑_,정규직 · 인턴직서울 영등포구,~ 01/17(수)
4,대림B&Co;㈜대림바스 2018년 신입사원 공개 채용,일반영업기술영업영업기획·관리·지원 외        ,신입_대학교(4년)↑_,정규직서울 강남구,~ 01/21(일)
5,서연2018 서연 신입/경력 공개 채용,회계·재무·세무·IR일반영업기계·기계설비 외        ,신입 · 경력_대학교(4년)↑_,정규직서울전체,~ 01/24(수)
6,㈜에스원[삼성에스원] 경력사원 채용(FM/SI),기계·기계설비전기·전자·제어카메라·조명·미술 외        ,경력_학력무관_,정규직서울전체,~ 01/23(화)
7,NICE평가정보㈜NICE평가정보㈜ 2018년 상반기 수시채용,기획·전략·경영마케팅·광고·분석IT·솔루션영업 외        ,신입 · 경력_대학교(4년)↑_,정규직서울 영등포구,~ 01/21(일)
8,(주)잇츠한불㈜잇츠한불 신입 및 경력사원 모집,회계·재무·세무·IR마케팅·광고·분석일반영업 외        ,신입 · 경력_대학교(4년)↑_,정규직서울 강남구,내일마감
9,한국과학기술원2018년 KAIST 정규직 직원 채용 공고,기획·전략·경영총무·법무·사무홍보·PR·사보 외        ,경력무관_학력무관_,정규직대전 유성구,~ 01/22(월)
10,㈜영원무역2018년 1월 신입/경력직 채용공고,,신입 · 경력_대학교(4년)↑_,서울 중구,~ 01/19(금)
11,NS홈쇼핑홈쇼핑 플랫폼 개발 경력사원 모집,TM·아웃바운드웹기획·PM응용프로그램개발 ,경력_학력무관_,경기 성남시 분당구,~ 01/18(목)
12,㈜LG화학전지 마케팅/상품기획 경력사원 모집 (2018년 1월),,3년↑_대학교(4년)↑_,서울 영등포구,~ 01/24(수)
13,"(주)서양네트웍스웹디자인 신입,경력직 채용 공고",컨텐츠·사이트운영웹디자인 ,"신입 · 경력_대학(2,3년)↑_",정규직서울 강남구,오늘마감
14,NH농협생명보험강원지역총국 전문직 채용,금융·보험영업증권·투자·펀드·외환 ,2년↑_학력무관_,정규직 · 계약직강원 춘천시,~ 01/18(목)
15,NS홈쇼핑생활문화(침구/인테리어) MD(온라인) 경력사원 모집,건축·인테리어·설계상품기획·MD의류·패션·잡화디자인 ,3년↑_학력무관_,경기 성남시 분당구,~ 01/18(목)
16,㈜LG화학전지 SCM/경영전략/사업개발 경력사원 모집 (2018년 1월),,3년↑_대학교(4년)↑_,서울 영등포구,~ 01/22(월)
17,주식회사 케이씨티(주)케이씨티 2018년 신입/경력 사원 공개 채용,회계·재무·세무·IR일반영업IT·솔루션영업 외        ,"신입 · 경력_대학(2,3년)↑_",정규직서울 강서구,~ 01/21(일)
18,펑타이그레이터차..[제일기획 자회사 펑타이] 2018년 상반기 경력직 채용,기획·전략·경영총무·법무·사무인사·교육·노무 외        ,경력_대학교(4년)↑_,정규직 · 계약직서울 강남구,상시채용
19,㈜한국감정원NCS 기반 경력직원 모집공고,총무·법무·사무법률·특허·상표부동산·개발·경매·분양 ,2년↑_학력무관_,정규직 · 계약직대구 동구,~ 01/19(금)
20,(주)디엠씨미디어[DMC미디어] PM전략팀 채용공고,홍보·PR·사보마케팅·광고·분석광고·카피·CF ,2년↑_학력무관_,정규직서울 강남구,~ 01/31(수)
21,LG히타치워터솔루션재무관리팀 경력사원 채용 공고,,5년↑_대학교(4년)↑_,서울 금천구,~ 01/28(일)
22,㈜넥슨2018년 넥슨컴퍼니 상반기 인턴십 모집,기획·전략·경영마케팅·광고·분석웹기획·PM 외        ,"신입_대학(2,3년)↑_",인턴직경기 성남시 분당구,~ 01/25(목)
23,NS홈쇼핑정보시스템 설계/개발 경력사원 모집,웹기획·PM웹개발 ,경력_학력무관_,경기 성남시 분당구,~ 01/18(목)
