,Job Title,Job Sector,Recruit Condition,Company Info,DeadLines_MonJan151331532018
0,SK네트웍스서비스㈜IT Solution사업본부 컨버지드 시스템 엔지니어 채용 件,서버·네트워크·보안 ,"3년↑_대학(2,3년)↑_",정규직서울 중구,~ 01/21(일)
1,한국소비자원2018년 상반기 한국소비자원 청년인턴 채용공고,기획·전략·경영사무보조·문서작성 ,경력무관_학력무관_,인턴직충북 음성군,~ 01/21(일)
2,㈜바디프랜드(주)바디프랜드 경영기획팀 경력/신입 채용,기획·전략·경영인사·교육·노무 ,3년↑_대학교(4년)↑_,정규직서울 강남구,~ 01/31(수)
3,(주)아우딘퓨쳐스일본 수출입 담당 경력사원모집,일반영업화학·에너지해외영업·무역영업 ,3년↑_대학교(4년)↑_,정규직서울 강남구,~ 02/11(일)
4,LG그룹㈜서브원[FM] 전기운영/물류운영/일반운영/시설관리(주택관리사) 경력직,전기·전자·제어생산관리·품질관리안전·품질·검사·관리 외        ,"3년↑_대학(2,3년)↑_",광주 광산구,~ 01/22(월)
5,농업회사법인㈜한..영어회화 가능한 재무경리팀장 채용,경리·출납·결산회계·재무·세무·IR외국어·번역·통역 외        ,10년↑_대학교(4년)↑_,정규직경기 군포시,~ 01/20(토)
6,"(주)케이지모빌리..[KG모빌리언스] - 대외협력, 제휴마케팅 기획",기획·전략·경영마케팅·광고·분석 ,1 ~ 8년_대학교(4년)↑_,정규직경기 성남시 분당구,~ 02/11(일)
7,KGC라이프앤진[신입] 방판 교육강사 및 교육기획 모집 - 인삼공사 자회사,교육기획·교재 ,"신입_대학(2,3년)↑_",정규직서울 관악구,~ 01/21(일)
8,메가MD 주식회사[메가MD(주) 채용] 메가스터디 자회사 재경팀 신입 채용,회계·재무·세무·IR ,신입_대학교(4년)↑_,정규직서울 서초구,~ 01/28(일)
9,디케이락㈜디케이락(주) 국내영업부 신규직원 모집,영업기획·관리·지원 ,"경력무관_대학(2,3년)↑_",정규직경남 김해시,내일마감
10,한국화장품(주)(주)한국화장품제조 자회사 영업담당모집,일반영업 ,2년↑_대학교(4년)↑_,정규직서울 종로구,~ 01/25(목)
11,LG전자㈜[B2B사업본부] Security 관련 전문가(SW) 채용,웹개발응용프로그램개발하드웨어·소프트웨어 ,4년↑_학력무관_,경기 평택시,~ 01/26(금)
12,주식회사 밀레회계·재무·세무·IR(재무 외 1개 부문) 모집 공고,회계·재무·세무·IR ,3년↑_학력무관_,정규직서울 마포구,~ 02/11(일)
13,보령메디앙스㈜경력사원 채용,총무·법무·사무경리·출납·결산홍보·PR·사보 외        ,신입 · 경력_대학교(4년)↑_,서울 종로구,~ 01/20(토)
14,"한미반도체㈜인사, 노무 신입 및 경력사원 모집",인사·교육·노무 ,신입 · 경력_대학교(4년)↑_,정규직인천 서구,~ 01/21(일)
15,(주) 서울리거[(주)서울리거]PHP웹개발/웹퍼블리싱/모바일 개발자(ios)채용,웹개발응용프로그램개발 ,경력무관_학력무관_,정규직서울 강남구,~ 01/23(화)
16,LG디스플레이㈜기술영업/해외영업 경력사원 모집,기술영업해외영업·무역영업 ,3년↑_대학교(4년)↑_,정규직서울 영등포구,~ 01/28(일)
17,이투스교육컨텐츠사업본부 수학기획1팀 교재 기획 및 편집 담당 경력직 ..,교육기획·교재초중고·특수학교입시·보습·속셈학원 ,3년↑_대학교(4년)↑_,정규직서울 서초구,~ 01/23(화)
18,㈜이베이코리아금융상품 제휴 기획 담당 경력 수시 채용,기획·전략·경영 ,3 ~ 10년_학력무관_,서울 강남구,~ 01/25(목)
19,에스텍㈜에스텍(주) 연구소 신입사원 채용,전기·전자·제어 ,신입_대학교(4년)↑_,"정규직경남 양산시3,200~3,400만원",~ 01/21(일)
20,(재)CBS강원영동 2018 사원 공개채용 안내,기자 ,신입 · 경력_학력무관_,강원 강릉시,~ 01/19(금)
21,현대건설㈜현대건설/현대엔지니어링 전문안전직 모집,건축·인테리어·설계현장·시공·감리·공무안전·품질·검사·관리 ,"신입 · 경력_대학(2,3년)↑_",정규직 · 계약직서울 종로구,~ 01/23(화)
22,"(주)팔도경리·출납·결산(경리, 결산·정산 외 1개 부문) 채용 공고",경리·출납·결산 ,"경력무관_대학(2,3년)↑_","계약직서울 중랑구2,200~2,400만원",~ 01/20(토)
23,에스텍㈜에스텍(주) 연구소(기구설계/회로설계) 경력사원 채용,전기·전자·제어 ,경력무관_대학교(4년)↑_,정규직경남 양산시,~ 01/21(일)
24,이투스교육컨텐츠사업본부 수학기획2팀 고등 수학 교재 및 모의고사 담당..,교육기획·교재초중고·특수학교입시·보습·속셈학원 ,3년↑_대학교(4년)↑_,정규직서울 서초구,~ 01/23(화)
25,㈜한강인터트레이드한강인터트레이드[키스미]코스메틱 VMD 디자인팀 채용,그래픽디자인·CG광고·시각디자인 ,2 ~ 5년_대학교(4년)↑_,정규직서울 구로구,~ 01/28(일)
26,이투스교육강남하이퍼학원 본원 상담팀 신입/경력 정규직 채용,학원관리·운영·상담 ,"신입 · 경력_대학(2,3년)↑_",정규직서울 서초구,~ 01/23(화)
27,KTH㈜[1월 경력공채] 올레TV PL 채용,설문·통계·리서치방송연출·PD·감독 ,경력_학력무관_,정규직서울 동작구,~ 01/25(목)
28,(주) 서울리거[(주)서울리거] 디자이너 채용,디자인기타광고·시각디자인 ,경력무관_학력무관_,정규직서울 강남구,~ 01/23(화)
29,주택관리공단㈜제주지사 신입직원 채용공고,부동산·개발·경매·분양 ,신입_학력무관_,정규직 · 계약직제주전체,~ 01/19(금)
30,LG히타치워터솔루션수처리 시공분야 경력사원 채용 (정규직),토목·조경·도시·측량전기·소방·통신·설비현장·시공·감리·공무 ,4 ~ 12년_학력무관_,정규직전국,~ 01/31(수)
31,㈜더존비즈온18년 01월 신입 및 경력사원 모집 (일반),총무·법무·사무인사·교육·노무회계·재무·세무·IR 외        ,"신입 · 경력_대학(2,3년)↑_",정규직강원 춘천시,~ 01/21(일)
32,디피씨(주)기술연구소 개발업무 인원 채용,전기·전자·제어연구소·R&D; ,"신입 · 경력_대학(2,3년)↑_",정규직경기 안산시 단원구,~ 02/11(일)
33,한화손해보험㈜경력직 장기보상 위탁지원 실무자 채용,채권·보험·보상·심사보험심사과 ,"5년↑_대학(2,3년)↑_",정규직 · 계약직서울 영등포구,~ 01/17(수)
