,Job Title,Job Sector,Recruit Condition,Company Info,DeadLines_MonJan151331592018
0,㈜팍스넷시스템 운영 및 개발,서버·네트워크·보안응용프로그램개발 ,신입 · 경력_대학교(4년)↑_,정규직서울 양천구,~ 01/31(수)
1,(주)한성피앤아이(주)한성피앤아이 영업관리 경력무관 모집,영업기획·관리·지원 ,"경력무관_대학(2,3년)↑_",정규직대구 달서구,오늘마감
2,(주)코스메카코리아중국법인 디자인팀 인재 모집,제품·산업디자인 ,5 ~ 10년_대학교(4년)↑_,정규직아시아·중동 중국.홍콩,~ 01/24(수)
3,㈜웰크론웹디자인 경력사원 모집,그래픽디자인·CG의류·패션·잡화디자인광고·시각디자인 ,"2 ~ 7년_대학(2,3년)↑_",정규직서울 구로구,~ 01/22(월)
4,㈜GS ITM칼텍스 전자증빙지급시스템 운영 담당 경력사원 모집,서버·네트워크·보안웹개발응용프로그램개발 ,5년↑_학력무관_,서울 종로구,~ 02/02(금)
5,한국도박문제관리..충북센터 직원 채용 공고,사회복지·요양·봉사 ,신입 · 경력_대학교(4년)↑_,충북 청주시 흥덕구,~ 01/17(수)
6,㈜LG상사[해외법인] 인니 수력발전 경력채용 (기술부장),기계·기계설비전기·전자·제어연구소·R&D; ,15년↑_학력무관_,정규직아시아·중동 인도네시아,~ 01/31(수)
7,㈜케이지이니시스[KG이니시스]- 영업사원 공개채용,일반영업 ,"신입_대학(2,3년)↑_",정규직경기 성남시 분당구,내일마감
8,구리농수산물공사2018년 신입직원 채용공고,기획·전략·경영총무·법무·사무인사·교육·노무 외        ,신입_학력무관_,경기 구리시,~ 01/19(금)
9,㈜다날다날 IR 경력사원 모집,회계·재무·세무·IR ,5 ~ 10년_대학교(4년)↑_,정규직경기 성남시 분당구,~ 02/07(수)
10,주택관리공단㈜대전충남지사 신입직원(기술) 채용공고(긴급)(대전권),부동산·개발·경매·분양본사·관리·전산 ,신입_학력무관_,정규직 · 계약직대전 중구,18시마감
11,삼성웰스토리마케팅 전문가 경력 채용,마케팅·광고·분석영업기획·관리·지원 ,10년↑_대학교(4년)↑_,경기 성남시 분당구,~ 01/19(금)
12,(주)휴메딕스휴메딕스 에스테틱사업부 마케팅 경력자 모집,마케팅·광고·분석 ,5년↑_학력무관_,정규직경기 안양시 동안구,~ 01/21(일)
13,기아자동차㈜국내 자동차 시장 선도 전략 기획,기획·전략·경영일반영업연구소·R&D; ,5년↑_대학교(4년)↑_,서울 강남구,~ 01/22(월)
14,(주)에코프로(주)에코프로 각 부문별 사무직 지원자 모집,전기·전자·제어연구소·R&D;해외영업·무역영업 ,신입 · 경력_대학교(4년)↑_,정규직충북 청주시 청원구,~ 01/21(일)
15,(주)에코프로(주)에코프로BM 각 부문별 사무직 지원자 모집,기계·기계설비연구소·R&D;구매·자재·재고 ,신입 · 경력_대학교(4년)↑_,정규직충북 청원군,~ 01/21(일)
16,(주)제로투세븐소싱팀 경력사원 모집(대리급),생산관리·품질관리구매·자재·재고 ,5년↑_대학교(4년)↑_,정규직서울 마포구,~ 01/19(금)
17,주식회사 PN풍년해외사업팀 경력(대리&과장급) 채용,해외영업·무역영업 ,5 ~ 10년_대학교(4년)↑_,정규직서울 강남구,~ 01/31(수)
18,개나리벽지㈜2018년 상반기 각부문 신입 / 경력 공개채용,총무·법무·사무경리·출납·결산사무보조·문서작성 외        ,신입 · 경력_고졸↑_,정규직서울 서초구,~ 01/17(수)
19,㈜동성화학동성화학 신입/경력 채용공고,마케팅·광고·분석일반영업영업기획·관리·지원 외        ,3년↑_대학교(4년)↑_,정규직,~ 01/21(일)
20,"일진디스플레이㈜인사/노무,환경/안전,해외영업,국내영업 신입/경력 모집",비서·안내·수행원인사·교육·노무일반영업 외        ,"신입 · 경력_대학(2,3년)↑_",정규직경기 평택시,~ 01/21(일)
21,(주)신성이엔지선행개발실 (AI(인공지능)) 개발 담당 경력/신입 모집,반도체·디스플레이·LCD응용프로그램개발인공지능(AI)·빅데이터 ,신입 · 경력_대학교(4년)↑_,정규직경기 성남시 분당구,~ 01/31(수)
22,(주)신성이엔지선행개발실(자율주행) 개발담당 경력/신규채용,반도체·디스플레이·LCD응용프로그램개발인공지능(AI)·빅데이터 ,신입 · 경력_대학교(4년)↑_,정규직경기 성남시 분당구,~ 01/31(수)
23,"(주)원진(주)원진월드와이드 경영지원팀(총무/회계,자금) 경력사원 채용",총무·법무·사무회계·재무·세무·IR ,신입 · 경력_대학교(4년)↑_,"정규직경남 양산시3,200~3,400만원",~ 01/17(수)
24,㈜웰크론침구 할인점 영업MD 경력사원 모집,영업기획·관리·지원상품기획·MD ,"3 ~ 7년_대학(2,3년)↑_",정규직서울 구로구,오늘마감
25,㈜원익머트리얼즈(주)원익머트리얼즈- 인사총무팀 경력사원 모집,총무·법무·사무인사·교육·노무 ,1 ~ 6년_대학교(4년)↑_,정규직충북 청원군,~ 02/16(금)
26,㈜노루홀딩스각부문 신입 및 경력 채용,기획·전략·경영총무·법무·사무법률·특허·상표 외        ,신입 · 경력_대학교(4년)↑_,정규직 · 계약직서울 강남구,~ 01/21(일)
27,(주)제로투세븐알퐁소MD팀 경력사원 모집,해외영업·무역영업상품기획·MD ,5년↑_대학교(4년)↑_,정규직서울 마포구,~ 01/19(금)
28,㈜TS푸드앤시스템..[파파이스] 2018년 상반기 매장직 신입사원 공개채용,인사·교육·노무판매·매장관리영업기획·관리·지원 외        ,신입_고졸↑_,정규직서울전체,~ 01/19(금)
29,주택관리공단㈜충북지사 신입직원 채용공고(긴급) - 기술직,부동산·개발·경매·분양 ,신입_학력무관_,정규직 · 계약직충북 충주시,18시마감
30,주택관리공단㈜대구경북지사 신입사원 채용공고(포항경주권 행정직),부동산·개발·경매·분양 ,신입_학력무관_,정규직 · 계약직경북 포항시 북구,~ 01/23(화)
31,㈜아트박스(주)아트박스 기획실 MD 신입 및 경력사원 모집,상품기획·MD ,신입 · 경력_대학교(4년)↑_,정규직서울 서초구,~ 01/21(일)
32,"덕우전자(주)재무, 회계담당 경력 채용",회계·재무·세무·IR ,"3년↑_대학(2,3년)↑_",정규직경북 구미시,~ 02/04(일)
33,LG MMA㈜신입/경력사원 수시 채용(영업/마케팅),마케팅·광고·분석일반영업영업기획·관리·지원 ,신입 · 경력_대학교(4년)↑_,서울 중구,~ 01/17(수)
34,SK하이닉스시스템IC[경력] 품질분야 경력 채용,고객센터·CSQA·CS강사·수퍼바이저생산관리·품질관리 ,5년↑_대학교(4년)↑_,충북 청주시 흥덕구,~ 01/22(월)
35,"덕우전자(주)Mobile사업부(개발, 품질보증, 해외영업) 채용",생산관리·품질관리반도체·디스플레이·LCD해외영업·무역영업 ,1 ~ 10년_대학교(4년)↑_,정규직경북 구미시,~ 02/03(토)
36,㈜아모레퍼시픽[경력] '18년 APAU 경력채용_호주법인 운영지원,총무·법무·사무인사·교육·노무회계·재무·세무·IR 외        ,4 ~ 7년_학력무관_,오세아니아 호주,~ 01/18(목)
37,통일연구원2018년도 신규직원(정규직) 채용 공고,연구소·R&D; ,신입 · 경력_고졸↑_,정규직서울 서초구,~ 01/22(월)
38,SK하이닉스[경력] 구매전략 (중국 지역 전문가) 경력사원 모집 공고,반도체·디스플레이·LCD ,10년↑_대학교(4년)↑_,경기 이천시,~ 01/30(화)
39,(주)제로투세븐물류팀 경력사원 모집(물류기획),물류·유통·운송 ,10년↑_대학교(4년)↑_,정규직경기 여주시,~ 01/19(금)
40,계림요업(주)인테리어 디자이너 신입/경력 모집(구미 근무),건축·인테리어·설계 ,신입 · 경력_대학교(4년)↑_,정규직경북 구미시,~ 01/26(금)
41,에스케이하이닉스..[SK하이닉스] NAND BM 평면 분석 담당자 채용,사무보조·문서작성반도체·디스플레이·LCD ,"경력무관_대학(2,3년)↑_",정규직경기 이천시,~ 01/21(일)
42,한국도박문제관리..전북센터 직원 채용 공고,사회복지·요양·봉사 ,신입 · 경력_대학교(4년)↑_,전북 전주시 덕진구,~ 01/22(월)
43,KJ프리텍방열시트 연구/개발 경력 모집,반도체·디스플레이·LCD ,"5년↑_대학(2,3년)↑_",정규직경기 화성시,~ 01/25(목)
44,㈜경동나비엔2018년 사무지원 신입/경력 모집,총무·법무·사무사무보조·문서작성회계·재무·세무·IR ,"신입 · 경력_대학(2,3년)↑_",정규직서울 영등포구,18시마감
45,주식회사 미투온(주)미투온 케릭터/원화 디자이너 모집,게임·Game캐릭터·만화·애니 ,경력무관_학력무관_,정규직서울 강남구,~ 01/31(수)
46,SK하이닉스시스템IC[경력] IT/Infra 분야 경력채용,기획·전략·경영생산관리·품질관리반도체·디스플레이·LCD 외        ,5년↑_대학교(4년)↑_,충북 청주시,~ 01/22(월)
47,DB자동차보험손해..2018년 상반기 수도권 소액보상 신입(인턴) 및 경력 사원 모집,사무보조·문서작성채권·보험·보상·심사 ,"신입 · 경력_대학(2,3년)↑_",정규직 · 계약직서울 중구,18시마감
48,한국도박문제관리..대구센터 직원채용 공고,홍보·PR·사보사회복지·요양·봉사의료기사 ,"경력_대학(2,3년)↑_",대구 중구,17시마감
49,한국무사시엔지니..[일본어필수] 기술영업 신입/경력 채용,일반영업기술영업영업기획·관리·지원 외        ,"신입 · 경력_대학(2,3년)↑_",정규직경기 성남시 분당구,내일마감
50,주택관리공단㈜대전충남지사 신입직원(행정) 채용공고(긴급),사무보조·문서작성부동산·개발·경매·분양 ,신입_학력무관_,정규직 · 계약직대전 중구,18시마감
51,네오위즈[네오위즈플레이스튜디오] 각 부문 신입/경력 모집 공고,게임·Game웹디자인인공지능(AI)·빅데이터 ,경력무관_학력무관_,정규직 · 계약직경기 성남시 분당구,~ 01/31(수)
52,(주)신세계조선호텔㈜신세계조선호텔 경영관리팀 경영관리/재무 부문별 신입직 채용,기획·전략·경영회계·재무·세무·IR ,신입_학력무관_,정규직서울 중구,오늘마감
53,㈜GS넷비전푸드스타일리스트 경력 채용,요리·제빵사·영양사 ,"2년↑_대학(2,3년)↑_",서울 강남구,~ 01/19(금)
54,㈜이베이코리아가구·침구 CM 경력 수시 채용,판매·매장관리건축·인테리어·설계상품기획·MD 외        ,3 ~ 10년_대학교(4년)↑_,서울 강남구,~ 01/23(화)
55,"(주)남영전구기술연구소 연구직 신입사원 채용(LED조명 - 전기, 전자 / 기계)",연구소·R&D; ,"신입_대학(2,3년)↑_",정규직경기 김포시,오늘마감
